family,verbatimScientificName
Poaceae,Phleum pratense
Hydrophyllaceae,Phacelia sericea
Asteraceae,Erigeron compositus
Plantaginaceae,Penstemon whippleanus
Rosaceae,Potentilla glaucophylla
Orchidaceae,Platanthera dilatata
Ranunculaceae,Aquilegia coerulea
Caryophyllaceae,Silene acaulis
Orobanchaceae,Castilleja rhexiifolia
Asteraceae,Senecio fremontii
Fabaceae,Trifolium dasyphyllum
Gentianaceae,Gentianella amarella
Rosaceae,Geum rossii
Polygonaceae,Oxyria digyna
Fabaceae,Trifolium nanum
Orchidaceae,Platanthera dilatata
Onagraceae,Chamaenerion latifolium
Papaveraceae,Papaver coloradense
Chlamydomonadaceae,Chlamydomonas nivalis
Brassicaceae,Noccaea fendleri
Crassulaceae,Rhodiola integrifolia
Fabaceae,Trifolium parryi
Asteraceae,Artemisia scopulorum
Apiaceae,Oreoxis alpina
Ranunculaceae,Aquilegia coerulea
Ericaceae,Vaccinium scoparium
Rosaceae,Ivesia gordonii
Fabaceae,Trifolium nanum
Rosaceae,Ivesia gordonii
Asteraceae,Antennaria rosea
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Delphinium barbeyi
Ranunculaceae,Aquilegia coerulea
Montiaceae,Claytonia megarhiza
Poaceae,Poa alpina
Plantaginaceae,Veronica besseya
Ranunculaceae,Trollius albiflorus
Crassulaceae,Rhodiola rhodantha
Brassicaceae,Noccaea fendleri
Plantaginaceae,Penstemon whippleanus
Asteraceae,Achillea millefolium
Rosaceae,Geum rossii
Rosaceae,Dasiphora fruticosa
Fabaceae,Trifolium nanum
Ranunculaceae,Aquilegia coerulea
Brassicaceae,Erysimum capitatum
Asteraceae,Agoseris glauca
Violaceae,Viola biflora
Orobanchaceae,Pedicularis groenlandica
Asteraceae,Hymenoxys grandiflora
Plantaginaceae,Veronica besseya
Orobanchaceae,Castilleja haydenii
Rosaceae,Fragaria virginiana
Orobanchaceae,Pedicularis groenlandica
Plantaginaceae,Penstemon whippleanus
Ranunculaceae,Anemonastrum zephyrum
Linaceae,Linum lewisii
Polygonaceae,Bistorta bistortoides
Plantaginaceae,Penstemon whippleanus
Polygonaceae,Eriogonum coloradense
Asteraceae,Hymenoxys grandiflora
Grossulariaceae,Ribes montigenum
Saxifragaceae,Micranthes oregana
Brassicaceae,Cardamine cordifolia
Rosaceae,Geum rossii
Caryophyllaceae,Eremogone congesta
Asteraceae,Tetraneuris acaulis caespitosa
Salicaceae,Salix petrophila
Ranunculaceae,Aquilegia coerulea
Pinaceae,Picea engelmannii
Crassulaceae,Rhodiola integrifolia
Fabaceae,Trifolium dasyphyllum
Asteraceae,Hymenoxys hoopesii
Montiaceae,Claytonia megarhiza
Orobanchaceae,Pedicularis groenlandica
Pinaceae,Abies lasiocarpa
Primulaceae,Primula angustifolia
Caryophyllaceae,Silene acaulis
Pinaceae,Pinus aristata
Caryophyllaceae,Cherleria obtusiloba
Gentianaceae,Frasera speciosa
Ericaceae,Vaccinium myrtillus
Gentianaceae,Gentiana parryi
Asteraceae,Helianthella quinquenervis
Campanulaceae,Campanula uniflora
Plantaginaceae,Penstemon hallii
Plantaginaceae,Penstemon hallii
Polemoniaceae,Polemonium pulcherrimum delicatum
Polygonaceae,Bistorta bistortoides
Polygonaceae,Bistorta bistortoides
Brassicaceae,Smelowskia americana
Primulaceae,Primula parryi
Saxifragaceae,Saxifraga bronchialis
Gentianaceae,Gentiana parryi
Primulaceae,Androsace septentrionalis
Asteraceae,Erigeron pinnatisectus
Fabaceae,Trifolium parryi
Ranunculaceae,Caltha chionophila
Polygonaceae,Bistorta bistortoides
Montiaceae,Claytonia megarhiza
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Castilleja rhexiifolia
Boraginaceae,Eritrichium argenteum
Boraginaceae,Mertensia ciliata
Rosaceae,Dryas hookeriana
Montiaceae,Claytonia megarhiza
Caryophyllaceae,Cherleria obtusiloba
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Orobanchaceae,Castilleja rhexiifolia
Asteraceae,Hymenoxys grandiflora
Selaginellaceae,Selaginella scopulorum
Liliaceae,Gagea serotina
Apiaceae,Cymopterus lemmonii
Gentianaceae,Gentianella amarella
Asteraceae,Hymenoxys hoopesii
Caryophyllaceae,Silene acaulis
Brassicaceae,Physaria alpina
Rosaceae,Geum rossii turbinatum
Fabaceae,Trifolium parryi
Polemoniaceae,Polemonium confertum
Ranunculaceae,Anemonastrum zephyrum
Polemoniaceae,Phlox condensata
Rosaceae,Dasiphora fruticosa
Caprifoliaceae,Valeriana capitata
Cupressaceae,Juniperus communis
Rosaceae,Geum rossii
Brassicaceae,Physaria alpina
Caryophyllaceae,Silene acaulis
Ranunculaceae,Caltha chionophila
Polygonaceae,Bistorta vivipara
Saxifragaceae,Micranthes oregana
Brassicaceae,Boechera stricta
Primulaceae,Primula angustifolia
Polygonaceae,Bistorta bistortoides
Polygonaceae,Bistorta bistortoides
Papaveraceae,Corydalis caseana brandegeei
Polygonaceae,Eriogonum coloradense
Fabaceae,Oxytropis podocarpa
Caryophyllaceae,Cherleria obtusiloba
Saxifragaceae,Micranthes oregana
Primulaceae,Primula angustifolia
Boraginaceae,Eritrichium argenteum
Ranunculaceae,Caltha chionophila
Crassulaceae,Rhodiola rhodantha
Plantaginaceae,Chionophila jamesii
Asteraceae,Cirsium funkiae
Plantaginaceae,Veronica serpyllifolia
Apiaceae,Oreoxis alpina
Polygonaceae,Bistorta bistortoides
Asteraceae,Erigeron glacialis
Hydrophyllaceae,Phacelia sericea
Apiaceae,Heracleum maximum
Ranunculaceae,Caltha chionophila
Cyperaceae,Carex scopulorum
Plantaginaceae,Veronica wormskjoldii
Brassicaceae,Physaria alpina
Asteraceae,Hymenoxys hoopesii
Caryophyllaceae,Silene acaulis
Orobanchaceae,Pedicularis parryi
Orobanchaceae,Castilleja occidentalis
Caryophyllaceae,Eremogone fendleri
Fabaceae,Oxytropis splendens
Saxifragaceae,Heuchera parvifolia
Rosaceae,Potentilla glaucophylla
Rosaceae,Geum rossii
Pinaceae,Pinus aristata
Ranunculaceae,Caltha chionophila
Asteraceae,Senecio bigelovii
Apiaceae,Cymopterus lemmonii
Rosaceae,Geum rossii
Violaceae,Viola adunca
Saxifragaceae,Saxifraga bronchialis
Plantaginaceae,Penstemon whippleanus
Ranunculaceae,Aquilegia coerulea
Asteraceae,Cirsium hesperium
Caryophyllaceae,Eremogone fendleri
Montiaceae,Claytonia megarhiza
Polemoniaceae,Polemonium confertum
Saxifragaceae,Micranthes rhomboidea
Plantaginaceae,Penstemon whippleanus
Asteraceae,Agoseris aurantiaca
Asteraceae,Achillea millefolium
Ranunculaceae,Aquilegia coerulea
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Cherleria obtusiloba
Primulaceae,Primula angustifolia
Fabaceae,Trifolium attenuatum
Saxifragaceae,Micranthes oregana
Saxifragaceae,Micranthes rhomboidea
Salicaceae,Salix reticulata
Fabaceae,Astragalus robbinsii
Poaceae,Phragmites australis
Polygonaceae,Oxyria digyna
Caryophyllaceae,Cherleria obtusiloba
Liliaceae,Gagea serotina
Caryophyllaceae,Silene acaulis
Polygonaceae,Oxyria digyna
Crassulaceae,Rhodiola rhodantha
Rosaceae,Geum rossii
Viburnaceae,Sambucus racemosa
Saxifragaceae,Micranthes rhomboidea
Polemoniaceae,Polemonium viscosum
Melanthiaceae,Veratrum californicum
Gentianaceae,Swertia perennis
Asteraceae,Hymenoxys grandiflora
Gentianaceae,Gentiana algida
Celastraceae,Paxistima myrsinites
Ranunculaceae,Anemone multifida
Asteraceae,Senecio crassulus
Polemoniaceae,Polemonium pulcherrimum
Fabaceae,Trifolium dasyphyllum
Boraginaceae,Eritrichium argenteum
Saxifragaceae,Saxifraga bronchialis
Caryophyllaceae,Eremogone fendleri
Onagraceae,Chamaenerion angustifolium
Plantaginaceae,Chionophila jamesii
Asteraceae,Erigeron pinnatisectus
Montiaceae,Lewisia pygmaea
Caryophyllaceae,Silene acaulis
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis groenlandica
Boraginaceae,Eritrichium argenteum
Plantaginaceae,Linaria vulgaris
Gentianaceae,Gentiana algida
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii turbinatum
Rosaceae,Sibbaldia procumbens
Ranunculaceae,Pulsatilla nuttalliana
Montiaceae,Claytonia megarhiza
Crassulaceae,Rhodiola rhodantha
Asteraceae,Senecio soldanella
Rosaceae,Geum rossii
Caryophyllaceae,Silene acaulis
Fabaceae,Oxytropis podocarpa
Rosaceae,Geum rossii turbinatum
Ranunculaceae,Anemonastrum zephyrum
Rosaceae,Geum rossii
Gentianaceae,Gentianopsis barbellata
Plantaginaceae,Penstemon whippleanus
Plantaginaceae,Penstemon whippleanus
Rosaceae,Sibbaldia procumbens
Ranunculaceae,Trollius albiflorus
Gentianaceae,Swertia perennis
Polemoniaceae,Phlox condensata
Hydrophyllaceae,Phacelia sericea
Geraniaceae,Geranium richardsonii
Polygonaceae,Bistorta bistortoides
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys grandiflora
Saxifragaceae,Micranthes rhomboidea
Saxifragaceae,Micranthes rhomboidea
Caryophyllaceae,Silene acaulis
Poaceae,Koeleria spicata
Orobanchaceae,Pedicularis parryi
Orobanchaceae,Pedicularis groenlandica
Fabaceae,Trifolium parryi
Poaceae,Phleum alpinum
Caryophyllaceae,Silene acaulis
Asteraceae,Anaphalis margaritacea
Rosaceae,Geum rossii turbinatum
Caryophyllaceae,Paronychia pulvinata
Orobanchaceae,Pedicularis parryi
Saxifragaceae,Telesonix jamesii
Rosaceae,Geum rossii
Brassicaceae,Physaria alpina
Crassulaceae,Sedum lanceolatum
Polemoniaceae,Polemonium confertum
Fabaceae,Trifolium parryi
Asteraceae,Senecio fremontii
Gentianaceae,Gentiana parryi
Crassulaceae,Rhodiola integrifolia
Caprifoliaceae,Lonicera involucrata
Polemoniaceae,Polemonium viscosum
Ranunculaceae,Aquilegia coerulea
Polemoniaceae,Polemonium pulcherrimum delicatum
Gentianaceae,Gentiana algida
Geraniaceae,Geranium richardsonii
Liliaceae,Gagea serotina
Fabaceae,Trifolium attenuatum
Caryophyllaceae,Eremogone fendleri
Asteraceae,Senecio bigelovii
Ranunculaceae,Aquilegia coerulea
Fabaceae,Trifolium dasyphyllum
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis groenlandica
Asteraceae,Senecio amplectens holmii
Rosaceae,Geum rossii
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium scopulorum
Rosaceae,Geum rossii
Caryophyllaceae,Paronychia pulvinata
Caryophyllaceae,Silene acaulis
Brassicaceae,Erysimum capitatum
Polygonaceae,Bistorta bistortoides
Rosaceae,Geum rossii
Gentianaceae,Gentiana algida
Ranunculaceae,Trollius albiflorus
Rosaceae,Sibbaldia procumbens
Asteraceae,Achillea millefolium
Caryophyllaceae,Silene acaulis
Gentianaceae,Gentiana parryi
Fabaceae,Trifolium dasyphyllum
Caryophyllaceae,Silene acaulis
Ranunculaceae,Caltha chionophila
Asteraceae,Chaenactis douglasii
Fabaceae,Oxytropis sericea
Polemoniaceae,Polemonium viscosum
Onagraceae,Chamaenerion angustifolium
Rosaceae,Geum rossii turbinatum
Crassulaceae,Rhodiola integrifolia
Boraginaceae,Mertensia bakeri
Asteraceae,Cirsium scopulorum
Rosaceae,Geum rossii
Ranunculaceae,Anemonastrum zephyrum
Rosaceae,Potentilla nivea
Brassicaceae,Noccaea fendleri
Hydrophyllaceae,Phacelia sericea
Primulaceae,Primula angustifolia
Brassicaceae,Physaria alpina
Caryophyllaceae,Silene acaulis
Montiaceae,Lewisia pygmaea
Caryophyllaceae,Silene acaulis
Saxifragaceae,Saxifraga bronchialis
Polygonaceae,Bistorta vivipara
Crassulaceae,Rhodiola integrifolia
Polemoniaceae,Polemonium viscosum
Crassulaceae,Sedum lanceolatum
Montiaceae,Claytonia megarhiza
Rosaceae,Fragaria virginiana
Brassicaceae,Erysimum capitatum
Polemoniaceae,Polemonium viscosum
Gentianaceae,Swertia perennis
Apiaceae,Cymopterus lemmonii
Gentianaceae,Gentiana parryi
Polemoniaceae,Polemonium viscosum
Crassulaceae,Rhodiola rhodantha
Asteraceae,Achillea millefolium
Plantaginaceae,Penstemon glaber
Orobanchaceae,Pedicularis sudetica
Brassicaceae,Physaria alpina
Asteraceae,Cirsium scopulorum
Orobanchaceae,Pedicularis groenlandica
Primulaceae,Primula parryi
Caryophyllaceae,Silene acaulis
Crassulaceae,Sedum lanceolatum
Orobanchaceae,Castilleja miniata
Polygonaceae,Bistorta bistortoides
Gentianaceae,Frasera speciosa
Polygonaceae,Bistorta bistortoides
Polemoniaceae,Polemonium viscosum
Fabaceae,Trifolium nanum
Pinaceae,Picea engelmannii
Fabaceae,Trifolium dasyphyllum
Asteraceae,Senecio triangularis
Caryophyllaceae,Silene acaulis
Asteraceae,Erigeron speciosus
Betulaceae,Betula glandulosa
Asteraceae,Senecio triangularis
Asteraceae,Cirsium scopulorum
Crassulaceae,Rhodiola integrifolia
Orobanchaceae,Castilleja occidentalis
Gentianaceae,Gentiana algida
Polygonaceae,Bistorta bistortoides
Polemoniaceae,Polemonium viscosum
Plantaginaceae,Penstemon whippleanus
Asteraceae,Pyrrocoma crocea
Asteraceae,Packera werneriifolia
Polemoniaceae,Phlox condensata
Primulaceae,Primula angustifolia
Salicaceae,Salix petrophila
Polygonaceae,Bistorta bistortoides
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Rhodiola rhodantha
Plantaginaceae,Penstemon whippleanus
Hydrophyllaceae,Phacelia sericea
Ranunculaceae,Anemonastrum zephyrum
Rosaceae,Geum rossii turbinatum
Orobanchaceae,Pedicularis racemosa
Rosaceae,Geum rossii
Asteraceae,Achillea millefolium
Saxifragaceae,Telesonix jamesii
Polemoniaceae,Phlox condensata
Cyperaceae,Carex rupestris
Caryophyllaceae,Silene acaulis
Asteraceae,Heliomeris multiflora
Brassicaceae,Cardamine cordifolia
Saxifragaceae,Micranthes oregana
Caryophyllaceae,Cherleria obtusiloba
Polemoniaceae,Polemonium viscosum
Caryophyllaceae,Silene acaulis
Plantaginaceae,Penstemon harbourii
Gentianaceae,Gentianella amarella
Fabaceae,Trifolium attenuatum
Fabaceae,Trifolium dasyphyllum
Salicaceae,Salix petrophila
Crassulaceae,Rhodiola rhodantha
Brassicaceae,Erysimum capitatum
Polemoniaceae,Polemonium viscosum
Ranunculaceae,Aquilegia coerulea
Fabaceae,Trifolium parryi
Asteraceae,Hymenoxys grandiflora
Caryophyllaceae,Silene acaulis
Asteraceae,Cirsium funkiae
Polygonaceae,Bistorta bistortoides
Crassulaceae,Rhodiola rhodantha
Saxifragaceae,Saxifraga hirculus
Apiaceae,Oxypolis fendleri
Primulaceae,Primula parryi
Caryophyllaceae,Cherleria obtusiloba
Asteraceae,Hymenoxys grandiflora
Orobanchaceae,Castilleja rhexiifolia
Polygonaceae,Bistorta bistortoides
Liliaceae,Erythronium grandiflorum
Caryophyllaceae,Silene acaulis
Plantaginaceae,Chionophila jamesii
Grossulariaceae,Ribes montigenum
Polemoniaceae,Phlox condensata
Gentianaceae,Gentiana parryi
Saxifragaceae,Micranthes oregana
Crassulaceae,Rhodiola integrifolia
Gentianaceae,Gentiana parryi
Fabaceae,Trifolium dasyphyllum
Brassicaceae,Smelowskia americana
Primulaceae,Primula parryi
Primulaceae,Androsace septentrionalis
Asteraceae,Agoseris aurantiaca
Gentianaceae,Gentiana parryi
Polygonaceae,Oxyria digyna
Crassulaceae,Rhodiola integrifolia
Plantaginaceae,Penstemon whippleanus
Polemoniaceae,Polemonium pulcherrimum
Rosaceae,Geum rossii turbinatum
Fabaceae,Trifolium attenuatum
Fabaceae,Oxytropis borealis
Rosaceae,Sibbaldia procumbens
Rosaceae,Geum rossii turbinatum
Rosaceae,Geum rossii
Polemoniaceae,Ipomopsis globularis
Saxifragaceae,Micranthes odontoloma
Poaceae,Koeleria spicata
Plantaginaceae,Penstemon hallii
Polygonaceae,Bistorta bistortoides
Primulaceae,Primula parryi
Ranunculaceae,Ranunculus macauleyi
Polygonaceae,Bistorta vivipara
Rosaceae,Dasiphora fruticosa
Asteraceae,Erigeron elatior
Melanthiaceae,Veratrum californicum
Fabaceae,Trifolium parryi
Rosaceae,Geum rossii
Rosaceae,Geum rossii
Polygonaceae,Bistorta bistortoides
Polemoniaceae,Polemonium pulcherrimum delicatum
Ranunculaceae,Aquilegia coerulea
Rosaceae,Dryas hookeriana
Montiaceae,Claytonia megarhiza
Asteraceae,Hymenoxys hoopesii
Liliaceae,Gagea serotina
Ranunculaceae,Trollius albiflorus
Caryophyllaceae,Cherleria obtusiloba
Orobanchaceae,Castilleja septentrionalis
Boraginaceae,Mertensia ciliata
Onagraceae,Chamaenerion angustifolium
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola rhodantha
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Potentilla glaucophylla
Fabaceae,Trifolium dasyphyllum
Apiaceae,Cymopterus humilis
Rosaceae,Geum rossii
Montiaceae,Claytonia megarhiza
Ranunculaceae,Aquilegia coerulea
Crassulaceae,Rhodiola integrifolia
Gentianaceae,Gentiana algida
Polygonaceae,Oxyria digyna
Montiaceae,Lewisia pygmaea
Polemoniaceae,Polemonium viscosum
Orobanchaceae,Pedicularis groenlandica
Polemoniaceae,Aliciella pinnatifida
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Boechera stricta
Polygonaceae,Oxyria digyna
Asteraceae,Hymenoxys grandiflora
Fabaceae,Trifolium dasyphyllum
Salicaceae,Salix petrophila
Rosaceae,Geum rossii
Caryophyllaceae,Cherleria obtusiloba
Asteraceae,Chaenactis douglasii alpina
Plantaginaceae,Linaria vulgaris
Ranunculaceae,Trollius albiflorus
Orobanchaceae,Castilleja occidentalis
Crassulaceae,Rhodiola rhodantha
Asteraceae,Hymenoxys grandiflora
Polemoniaceae,Polemonium confertum
Caryophyllaceae,Cherleria obtusiloba
Crassulaceae,Rhodiola integrifolia
Asteraceae,Packera dimorphophylla
Asteraceae,Askellia pygmaea
Asteraceae,Hymenoxys grandiflora
Brassicaceae,Smelowskia americana
Plantaginaceae,Veronica wormskjoldii
Orobanchaceae,Castilleja rhexiifolia
Polygonaceae,Bistorta bistortoides
Caprifoliaceae,Valeriana edulis
Fabaceae,Trifolium dasyphyllum
Polemoniaceae,Polemonium viscosum
Boraginaceae,Eritrichium argenteum
Rosaceae,Geum rossii
Polygonaceae,Eriogonum coloradense
Saxifragaceae,Micranthes rhomboidea
Saxifragaceae,Saxifraga flagellaris crandallii
Caryophyllaceae,Silene acaulis
Polemoniaceae,Polemonium viscosum
Fabaceae,Trifolium dasyphyllum
Poaceae,Phleum alpinum
Polygonaceae,Eriogonum umbellatum
Melanthiaceae,Anticlea elegans
Crassulaceae,Sedum lanceolatum
Pinaceae,Picea engelmannii
Polygonaceae,Bistorta bistortoides
Polygonaceae,Eriogonum coloradense
Orobanchaceae,Castilleja occidentalis
Caryophyllaceae,Silene acaulis
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Sedum lanceolatum
Melanthiaceae,Veratrum californicum
Crassulaceae,Sedum lanceolatum
Ranunculaceae,Anemonastrum zephyrum
Asteraceae,Hymenoxys grandiflora
Primulaceae,Androsace lehmanniana
Caryophyllaceae,Silene acaulis
Crassulaceae,Sedum lanceolatum
Caryophyllaceae,Silene acaulis
Fabaceae,Trifolium nanum
Montiaceae,Lewisia pygmaea
Rosaceae,Geum rossii
Asteraceae,Erigeron leiomerus
Gentianaceae,Gentiana algida
Orchidaceae,Platanthera dilatata
Gentianaceae,Gentiana parryi
Caryophyllaceae,Cherleria obtusiloba
Asteraceae,Arnica latifolia
Brassicaceae,Draba aurea
Caryophyllaceae,Eremogone fendleri
Brassicaceae,Physaria alpina
Polygonaceae,Bistorta bistortoides
Polemoniaceae,Polemonium confertum
Asteraceae,Arnica cordifolia
Fabaceae,Trifolium nanum
Rosaceae,Geum rossii turbinatum
Caprifoliaceae,Valeriana acutiloba
Primulaceae,Primula parryi
Rosaceae,Geum rossii turbinatum
Salicaceae,Salix nivalis
Ericaceae,Kalmia microphylla
Rosaceae,Geum rossii
Caprifoliaceae,Valeriana occidentalis
Polygonaceae,Oxyria digyna
Orobanchaceae,Castilleja occidentalis
Boraginaceae,Eritrichium argenteum
Ranunculaceae,Aconitum columbianum
Crassulaceae,Rhodiola integrifolia
Rosaceae,Geum rossii
Hydrophyllaceae,Phacelia sericea
Asteraceae,Cirsium funkiae
Primulaceae,Primula parryi
Hydrophyllaceae,Phacelia sericea
Plantaginaceae,Veronica besseya
Caryophyllaceae,Silene acaulis
Caryophyllaceae,Silene acaulis
Polygonaceae,Eriogonum coloradense
Ranunculaceae,Aquilegia coerulea
Saxifragaceae,Heuchera parvifolia
Juncaceae,Luzula spicata
Hydrophyllaceae,Phacelia sericea
Saxifragaceae,Saxifraga bronchialis
Primulaceae,Primula parryi
Orobanchaceae,Pedicularis sudetica scopulorum
Asteraceae,Hymenoxys grandiflora
Ranunculaceae,Caltha chionophila
Polemoniaceae,Polemonium confertum
Ranunculaceae,Ranunculus adoneus
Poaceae,Phleum alpinum
Gentianaceae,Gentiana algida
Crassulaceae,Sedum lanceolatum
Saxifragaceae,Micranthes odontoloma
Plantaginaceae,Chionophila jamesii
Polygonaceae,Bistorta bistortoides
Gentianaceae,Gentiana parryi
Boraginaceae,Eritrichium argenteum
Rosaceae,Geum rossii turbinatum
Asteraceae,Hymenoxys grandiflora
Hydrophyllaceae,Phacelia sericea
Caryophyllaceae,Silene acaulis
Crassulaceae,Sedum lanceolatum
Montiaceae,Lewisia pygmaea
Polygonaceae,Bistorta bistortoides
Ranunculaceae,Caltha chionophila
Asteraceae,Senecio triangularis
Boraginaceae,Mertensia ciliata
Asteraceae,Hymenoxys brandegeei
Fabaceae,Trifolium nanum
Gentianaceae,Comastoma tenellum
Asteraceae,Senecio triangularis
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Sedum lanceolatum
Hydrophyllaceae,Phacelia sericea
Orobanchaceae,Castilleja rhexiifolia
Montiaceae,Lewisia pygmaea
Brassicaceae,Smelowskia americana
Salicaceae,Salix petrophila
Fabaceae,Astragalus eucosmus
Campanulaceae,Campanula petiolata
Crassulaceae,Rhodiola integrifolia
Crassulaceae,Sedum lanceolatum
Polygonaceae,Bistorta bistortoides
Onagraceae,Chamaenerion latifolium
Fabaceae,Trifolium parryi
Plantaginaceae,Chionophila jamesii
Primulaceae,Primula parryi
Ericaceae,Kalmia microphylla
Asteraceae,Senecio amplectens holmii
Asteraceae,Cirsium scopulorum
Orobanchaceae,Castilleja occidentalis
Fabaceae,Trifolium parryi
Rosaceae,Dryas hookeriana
Rosaceae,Ivesia gordonii
Apiaceae,Angelica grayi
Ericaceae,Kalmia microphylla
Boraginaceae,Eritrichium argenteum
Scrophulariaceae,Verbascum thapsus
Parnassiaceae,Parnassia fimbriata
Crassulaceae,Rhodiola rhodantha
Boraginaceae,Eritrichium argenteum
Boraginaceae,Eritrichium argenteum
Grossulariaceae,Ribes montigenum
Pinaceae,Pinus aristata
Polygonaceae,Bistorta vivipara
Rosaceae,Geum rossii
Polemoniaceae,Phlox condensata
Crassulaceae,Rhodiola integrifolia
Fabaceae,Vicia americana
Crassulaceae,Sedum lanceolatum
Orobanchaceae,Pedicularis groenlandica
Boraginaceae,Eritrichium argenteum
Crassulaceae,Rhodiola rhodantha
Crassulaceae,Rhodiola rhodantha
Asteraceae,Senecio amplectens holmii
Rosaceae,Ivesia gordonii
Rosaceae,Geum rossii
Primulaceae,Primula angustifolia
Ranunculaceae,Aquilegia coerulea
Asteraceae,Hymenoxys grandiflora
Polygonaceae,Bistorta bistortoides
Asteraceae,Hymenoxys grandiflora
Poaceae,Koeleria spicata
Caryophyllaceae,Cherleria obtusiloba
Fabaceae,Trifolium nanum
Asteraceae,Townsendia rothrockii
Polemoniaceae,Phlox condensata
Asteraceae,Tonestus pygmaeus
Montiaceae,Claytonia megarhiza
Orobanchaceae,Pedicularis groenlandica
Polygonaceae,Bistorta bistortoides
Gentianaceae,Swertia perennis
Polygonaceae,Bistorta bistortoides
Boraginaceae,Mertensia ciliata
Boraginaceae,Eritrichium argenteum
Melanthiaceae,Anticlea elegans
Gentianaceae,Gentiana algida
Primulaceae,Androsace septentrionalis
Ranunculaceae,Aquilegia coerulea daileyae
Brassicaceae,Noccaea fendleri
Asteraceae,Hymenoxys grandiflora
Crassulaceae,Rhodiola integrifolia
Fabaceae,Trifolium dasyphyllum
Fabaceae,Trifolium nanum
Polygonaceae,Oxyria digyna
Plantaginaceae,Penstemon whippleanus
Asteraceae,Packera werneriifolia
Fabaceae,Oxytropis borealis
Polygonaceae,Bistorta bistortoides
Polygonaceae,Eriogonum umbellatum
Fabaceae,Trifolium attenuatum
Gentianaceae,Gentianella amarella
Fabaceae,Trifolium nanum
Campanulaceae,Campanula petiolata
Orobanchaceae,Castilleja puberula
Primulaceae,Primula angustifolia
Caryophyllaceae,Silene acaulis
Orobanchaceae,Castilleja rhexiifolia
Caryophyllaceae,Cherleria obtusiloba
Ranunculaceae,Caltha chionophila
Crassulaceae,Rhodiola integrifolia
Rosaceae,Dasiphora fruticosa
Fabaceae,Trifolium nanum
Campanulaceae,Campanula petiolata
Brassicaceae,Physaria alpina
Ranunculaceae,Aquilegia coerulea
Asteraceae,Agoseris aurantiaca
Asteraceae,Senecio soldanella
Rosaceae,Geum rossii
Orobanchaceae,Pedicularis groenlandica
Rosaceae,Ivesia gordonii
Montiaceae,Claytonia megarhiza
Onagraceae,Chamaenerion angustifolium
Ericaceae,Kalmia microphylla
Apiaceae,Cymopterus lemmonii
Caryophyllaceae,Cherleria obtusiloba
Rosaceae,Dasiphora fruticosa
Crassulaceae,Sedum lanceolatum
Brassicaceae,Erysimum capitatum
Caryophyllaceae,Cherleria obtusiloba
Primulaceae,Primula angustifolia
Primulaceae,Primula parryi
Polygonaceae,Bistorta bistortoides
Polygonaceae,Eriogonum umbellatum
Plantaginaceae,Penstemon whippleanus
Polemoniaceae,Polemonium pulcherrimum delicatum
Gentianaceae,Gentianella amarella
Ranunculaceae,Anemonastrum zephyrum
Polygonaceae,Bistorta bistortoides
Ranunculaceae,Caltha chionophila
Orchidaceae,Platanthera dilatata
Gentianaceae,Gentianella amarella
Asteraceae,Cirsium scopulorum
Polemoniaceae,Polemonium viscosum
Hydrophyllaceae,Phacelia sericea
Brassicaceae,Physaria alpina
Montiaceae,Claytonia lanceolata
Rosaceae,Geum rossii
Polemoniaceae,Polemonium viscosum
Gentianaceae,Gentiana algida
Polygonaceae,Bistorta bistortoides
Brassicaceae,Erysimum capitatum
Rosaceae,Sibbaldia procumbens
Plantaginaceae,Penstemon whippleanus
Asteraceae,Hymenoxys grandiflora
Rosaceae,Geum rossii
Montiaceae,Lewisia pygmaea
Linaceae,Linum lewisii
Caryophyllaceae,Silene acaulis
Polygonaceae,Oxyria digyna
Orobanchaceae,Castilleja puberula
Rosaceae,Dasiphora fruticosa
Asteraceae,Hymenoxys grandiflora
Asteraceae,Erigeron pinnatisectus
Violaceae,Viola adunca
Caryophyllaceae,Eremogone fendleri
Campanulaceae,Campanula petiolata
Hydrophyllaceae,Phacelia sericea
Polygonaceae,Bistorta bistortoides
Asteraceae,Hymenoxys grandiflora
Fabaceae,Oxytropis deflexa
Plantaginaceae,Penstemon whippleanus
Caryophyllaceae,Silene acaulis
Salicaceae,Salix brachycarpa
Orobanchaceae,Castilleja occidentalis
Orobanchaceae,Castilleja occidentalis
Rosaceae,Geum rossii
Fabaceae,Astragalus alpinus
Saxifragaceae,Micranthes rhomboidea
